,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,label
Girl In A Country Song,0.273,0.5870000000000001,217839,0.912,0.0,8,0.36,-3.735,0.0826,160.035,4,0.8740000000000001,1
Girl On Fire,0.135,0.48200000000000004,224920,0.706,0.00106,9,0.105,-5.7620000000000005,0.0609,92.494,4,0.14400000000000002,1
Give Me All Your Luvin',0.0081,0.695,202760,0.877,0.000705,11,0.375,-4.309,0.0401,145.034,4,0.855,1
Give Me Back My Hometown,0.506,0.619,252493,0.677,0.0592,1,0.0825,-7.789,0.0295,103.96,4,0.5,1
Give Your Heart A Break,0.23600000000000002,0.643,205347,0.695,0.0,6,0.145,-3.0989999999999998,0.0463,123.02600000000001,4,0.65,1
God Gave Me You,0.00481,0.483,229533,0.8440000000000001,7.290000000000001e-05,2,0.405,-5.043,0.0314,151.977,4,0.5429999999999999,1
"Gone, Gone, Gone",0.21899999999999997,0.42700000000000005,257760,0.861,0.0,1,0.27699999999999997,-4.874,0.376,161.776,4,0.581,1
Gonna Know We Were Here,0.0339,0.447,224067,0.8959999999999999,0.0,9,0.882,-5.57,0.17300000000000001,173.852,4,0.5329999999999999,1
Good For You,0.17600000000000002,0.941,209640,0.32299999999999995,0.0,10,0.205,-10.307,0.506,120.036,4,0.662,1
Good Girl,0.408,0.627,173947,0.462,0.0,0,0.155,-7.686,0.253,78.811,4,0.836,1
Good Kisser,0.11900000000000001,0.485,218493,0.591,0.00278,10,0.0787,-3.888,0.0453,160.336,4,0.636,1
Good Old Days,0.446,0.7120000000000001,240507,0.51,2.46e-05,8,0.11199999999999999,-8.162,0.0633,122.964,4,0.268,1
Good Time,0.183,0.475,153467,0.43200000000000005,0.0,7,0.161,-7.843999999999999,0.0302,94.605,4,0.648,1
Gorilla,0.445,0.7170000000000001,244493,0.544,5.16e-06,7,0.0973,-6.598,0.0371,139.959,4,0.6409999999999999,1
Gummo,0.0485,0.6890000000000001,157643,0.7609999999999999,0.0,1,0.136,-4.939,0.13,78.514,4,0.698,1
H.O.L.Y.,0.385,0.525,194187,0.685,0.0,7,0.0731,-3.9539999999999997,0.0351,78.003,4,0.54,1
Habits (Stay High),0.0664,0.73,209160,0.669,3.63e-05,5,0.0822,-3.4939999999999998,0.0318,110.04,4,0.38299999999999995,1
Hands To Myself,0.0165,0.8029999999999999,200680,0.504,5.25e-06,5,0.335,-7.218,0.0979,111.014,4,0.498,1
Hangover,0.00255,0.654,202800,0.8140000000000001,0.0,6,0.107,-4.145,0.262,100.068,4,0.483,1
Hard,0.0119,0.638,224293,0.722,0.00808,9,0.18899999999999997,-6.1770000000000005,0.0332,103.01700000000001,4,0.469,1
Haven't Met You Yet,0.152,0.615,244587,0.733,0.0,8,0.109,-4.808,0.0335,122.58,4,0.7959999999999999,1
HeadBand,0.132,0.919,220240,0.506,0.0,1,0.0771,-7.14,0.304,97.465,4,0.273,1
Heartbeat Song,0.0137,0.49,198733,0.7979999999999999,0.0,6,0.0627,-3.66,0.0489,149.109,4,0.479,1
Heathens,0.0841,0.732,195920,0.396,3.5799999999999996e-05,4,0.105,-9.347999999999999,0.0286,90.024,4,0.5479999999999999,1
Heavy,0.28600000000000003,0.614,264151,0.5489999999999999,2.64e-06,5,0.142,-6.986000000000001,0.0516,77.926,4,0.258,1
Hello Good Morning,0.0915,0.75,217267,0.8740000000000001,0.0,2,0.295,-4.831,0.242,104.016,4,0.552,1
Hello World,0.9740000000000001,0.637,115375,0.16399999999999998,0.14800000000000002,5,0.359,-16.608,0.0319,109.945,4,0.37,1
Here For A Good Time,0.0755,0.604,180267,0.773,3.63e-06,6,0.11,-6.63,0.0368,127.90100000000001,4,0.563,1
Here's To Never Growing Up,0.011000000000000001,0.48700000000000004,214320,0.8759999999999999,0.0,0,0.401,-3.1519999999999997,0.0946,164.997,4,0.725,1
Hey,0.0279,0.537,255093,0.777,6.12e-05,7,0.0838,-4.829,0.0473,124.943,4,0.42700000000000005,1
Hey Baby (Drop It To The Floor),0.0435,0.595,234453,0.9129999999999999,0.0,10,0.259,-3.428,0.0884,128.02100000000002,4,0.762,1
Hey Mama,0.0572,0.628,304500,0.767,0.0,7,0.105,-6.8839999999999995,0.217,95.936,4,0.375,1
"Hey, Soul Sister",0.217,0.675,216667,0.885,0.0,1,0.086,-4.4319999999999995,0.0436,97.03,4,0.768,1
High School,0.0669,0.579,207200,0.634,0.0,0,0.142,-6.443,0.043,108.03,4,0.256,1
Highway Don't Care,0.0216,0.47,276880,0.79,0.0,2,0.0863,-5.352,0.039,158.061,4,0.495,1
Hillbilly Bone,0.0441,0.611,225280,0.9640000000000001,7.37e-05,7,0.109,-3.076,0.0464,144.014,4,0.9,1
Him & I,0.0534,0.589,268867,0.731,0.0,2,0.308,-6.343,0.0868,87.90799999999999,4,0.191,1
History In The Making,0.0373,0.475,209480,0.718,0.0,0,0.326,-5.638,0.034,157.722,4,0.45299999999999996,1
Hit The Quan,0.00023500000000000002,0.741,181081,0.488,0.0,8,0.0488,-8.253,0.36200000000000004,160.018,4,0.625,1
"Hold On, We're Going Home",0.00349,0.772,227880,0.40700000000000003,2.4e-05,6,0.0705,-7.442,0.0907,100.006,4,0.292,1
Holy Grail,0.263,0.735,238989,0.484,0.0,2,0.364,-5.322,0.0513,145.069,4,0.0616,1
Homeboy,0.015,0.5579999999999999,227227,0.6729999999999999,0.000655,6,0.0758,-4.914,0.0291,139.985,4,0.445,1
Homegrown,0.0189,0.7170000000000001,205000,0.7959999999999999,8.94e-05,6,0.19,-3.677,0.0303,105.01700000000001,4,0.9420000000000001,1
Hotline Bling,0.00302,0.903,267067,0.621,0.00018600000000000002,2,0.0504,-8.132,0.0578,134.969,4,0.5529999999999999,1
House Party,0.129,0.7490000000000001,190240,0.8540000000000001,0.0,8,0.0262,-5.245,0.0503,103.95200000000001,4,0.8420000000000001,1
How Deep Is Your Love,0.0389,0.738,212640,0.868,0.0017100000000000001,11,0.38799999999999996,-4.373,0.0731,122.00299999999999,4,0.336,1
How Long,0.18899999999999997,0.8490000000000001,198237,0.581,3.61e-06,1,0.0805,-5.242999999999999,0.0767,110.008,4,0.779,1
How Low,0.00293,0.56,201587,0.494,0.0,1,0.21899999999999997,-6.935,0.111,144.004,4,0.37200000000000005,1
How Will I Know,0.943,0.5429999999999999,232235,0.13,0.0,0,0.081,-12.345,0.0645,84.12200000000001,4,0.295,1
Humble.,0.000259,0.904,177000,0.611,2.0300000000000002e-05,1,0.0976,-6.8420000000000005,0.0888,150.02,4,0.4,1
"Huntin', Fishin' & Lovin' Every Day",0.125,0.546,278613,0.805,9.27e-06,0,0.14800000000000002,-4.251,0.0348,77.029,4,0.387,1
Hymn For The Weekend,0.00868,0.565,212647,0.8490000000000001,4.68e-06,0,0.12,-3.516,0.0517,102.03399999999999,4,0.42700000000000005,1
I Am,0.022000000000000002,0.91,276333,0.444,0.0,1,0.13699999999999998,-8.126,0.344,149.953,4,0.53,1
