,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,label
Budapest,0.0846,0.7170000000000001,200733,0.455,0.0,5,0.11,-8.302999999999999,0.0276,127.81,4,0.389,0
Bugatti,0.0168,0.607,269267,0.589,0.0,1,0.0855,-4.928999999999999,0.0542,130.431,4,0.069,0
Bulletproof,0.000198,0.39,177048,0.91,0.0,5,0.156,-3.2680000000000002,0.133,162.253,4,0.644,0
Bullets In The Gun,0.308,0.611,256613,0.787,1.24e-05,9,0.0835,-5.957000000000001,0.073,120.09899999999999,4,0.428,0
Burning House,0.887,0.728,231333,0.253,1.11e-05,0,0.133,-8.427,0.0304,140.923,4,0.457,0
Butterfly Effect,0.0714,0.763,190678,0.598,0.0,11,0.11199999999999999,-6.865,0.0539,140.987,4,0.182,0
Buy Me A Boat,0.319,0.574,179078,0.745,0.0,2,0.11,-6.662999999999999,0.0507,154.042,4,0.693,0
Buzzin',0.65,0.563,183287,0.46299999999999997,4.87e-06,9,0.0967,-9.249,0.4,149.571,4,0.276,0
C'mon,0.0351,0.38,214431,0.489,0.00243,0,0.081,-7.027,0.0362,127.09700000000001,4,0.337,0
Cake,0.0252,0.8059999999999999,198110,0.77,0.0,1,0.0645,-6.4639999999999995,0.19,152.094,4,0.406,0
Cake By The Ocean,0.156,0.774,219147,0.765,0.0,4,0.0373,-5.439,0.0502,119.001,4,0.917,0
Call On Me,0.0604,0.67,222041,0.838,0.000611,0,0.159,-4.031000000000001,0.0362,104.99799999999999,4,0.7170000000000001,0
Can't Be Friends,0.193,0.773,230067,0.706,0.0,10,0.5720000000000001,-9.042,0.0382,92.462,4,0.966,0
Can't Get Enough,0.187,0.483,219427,0.648,0.0,0,0.0812,-8.651,0.327,93.939,4,0.242,0
Can't Hold Us,0.0291,0.6409999999999999,258343,0.922,0.0,2,0.0862,-4.457,0.0786,146.078,4,0.847,0
Can't Stop Dancin',0.00545,0.645,198853,0.669,0.0013800000000000002,0,0.0997,-7.946000000000001,0.0638,100.052,4,0.568,0
